"","year","Country.Code","Country.Name","Region","IncomeGroup","NY.GNP.PCAP.CD","SH.STA.BRTC.ZS","SH.MED.BEDS.ZS","SH.STA.ACSN","SH.STA.ACSN.RU","SH.STA.ACSN.UR","SH.MED.NUMW.P3","SH.MED.PHYS.ZS","SH.HIV.TOTL","SH.HIV.INCD.TL","SH.DYN.AIDS","SH.HIV.INCD","SH.DYN.AIDS.DH","SH.HIV.0014","SH.HIV.INCD.14","SH.HIV.ORPH","SH.HIV.INCD.ZS","SH.HIV.1524.FE.ZS","SH.HIV.1524.MA.ZS","SH.DYN.AIDS.ZS","SH.DYN.AIDS.FE.ZS","SP.ADO.TFRT","SH.DTH.IMRT","SH.MMR.DTHS","SH.DTH.NMRT","SH.XPD.EXTR.ZS","SH.XPD.PCAP","SH.XPD.PCAP.PP.KD","SH.XPD.PRIV.ZS","SH.XPD.PRIV","SH.XPD.PUBL.ZS","SH.XPD.PUBL.GX.ZS","SH.XPD.PUBL","SH.XPD.TOTL.ZS","SH.XPD.TOTL.CD","SH.XPD.OOPC.ZS","SH.XPD.OOPC.TO.ZS","SH.HIV.ARTC.ZS","SH.HIV.PMTC.ZS","SE.XPD.TOTL.GD.ZS","SE.PRM.ENRR","SE.SEC.ENRR","SE.TER.ENRR"
"436",2009,"CMR","Cameroon","Sub-Saharan Africa","Lower middle income",1160,NA,NA,44.4,26.7,61.5,0.438,0.077,570000,46000,520000,38000,28000,45000,8100,290000,0.41,2,1.1,4.9,57.8465265627103,124.7682,51947,5500,21521,5.06656518,59.05103438,125.51292404,3.78685571950399,74.69160255,1.28313286049601,7.33615431,25.30839745,5.06998858,1185421288.73106,94.68231926,70.71974159,13,NA,3.46006989479065,103.871726989746,39.6364402770996,8.96290969848633
"437",2010,"CMR","Cameroon","Sub-Saharan Africa","Lower middle income",1170,NA,1.3,44.7,26.7,61.5,NA,NA,580000,45000,530000,38000,28000,44000,6500,290000,0.4,2,1.1,4.8,57.8422709137879,121.7918,50648,5400,21509,6.78875207,60.62989094,133.33019941,3.77723506438948,71.47306192,1.50760227561052,8.53335928,28.52693808,5.28483734,1248409833.90546,94.67168054,67.66474886,16,43,3.3131799697876,106.192527770996,40.4374593166264,11.0382404327393
"438",2011,"CMR","Cameroon","Sub-Saharan Africa","Lower middle income",1210,63.6,NA,44.9,26.8,61.6,NA,NA,590000,46000,540000,39000,30000,44000,6900,290000,0.4,1.9,1.1,4.8,57.8699788291351,118.8154,49922,5300,21329,NA,49.87450321,103.5778214,2.63022801331992,66.39181408,1.33144715668008,6.41716148,33.60818592,3.96167517,1053302875.08891,73.35017636,48.69851272,18,48,3.05290007591248,105.906021118164,47.2656517028809,11.9260301589966
"439",2012,"CMR","Cameroon","Sub-Saharan Africa","Lower middle income",1230,NA,NA,45.2,26.8,61.7,NA,NA,6e+05,46000,550000,40000,30000,43000,6700,3e+05,0.39,1.9,1.1,4.7,57.9670443847339,115.839,49046,5200,21157,10.57083015,53.03231424,117.76815168,3.27236747346912,75.41555819,1.06674709653088,5.45882966,24.58444181,4.33911457,1148652773.79951,85.97828356,64.84100247,21,56,2.96538996696472,110.811309814453,50.4674301147461,17.1624393463135
"440",2013,"CMR","Cameroon","Sub-Saharan Africa","Lower middle income",1290,NA,NA,45.4,26.8,61.8,NA,NA,610000,46000,560000,40000,30000,42000,6000,3e+05,0.38,1.9,1.1,4.6,58.4283416472989,111.346,48149,5100,21143,7.63567498,57.1497078,121.73181916,3.28062763645281,76.41633533,1.01246967354719,4.62177535,23.58366467,4.29309731,1269361646.68809,85.97828356,65.70145348,22,72,3.02834010124207,111.188888532992,52.302131652832,17.6252546310425
"441",2014,"CMR","Cameroon","Sub-Saharan Africa","Lower middle income",1350,64.7,NA,45.6,26.8,61.8,NA,NA,610000,45000,570000,40000,32000,41000,5600,310000,0.37,1.9,1.1,4.6,58.8690649539531,106.853,47365,5100,21118,11.09288393,58.6522027,121.9234186,3.1650378885995,77.12697829,0.9386336914005,4.26453239,22.87302171,4.10367158,1335687433.31404,85.97828356,66.3124521,24,69,4.71947002410889,113.550239562988,56.4307289123535,20.7060108184814
"442",2015,"CMR","Cameroon","Sub-Saharan Africa","Lower middle income",1330,NA,NA,45.8,26.8,61.8,NA,NA,620000,44000,580000,40000,33000,39000,4100,310000,0.36,1.9,1.1,4.5,59.2397801857052,106.853,46762,5100,21071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,82,2.4666600227356,113.550239562988,56.4307289123535,26.7124500274658
"443",1990,"COL","Colombia","Latin America & Caribbean","Upper middle income",1220,80.6,1.3667000532,69,40.9,82,0.401,0.96,19000,4200,18000,4000,1000,1000,500,2400,0.02,0.1,0.1,0.1,50.3258036490009,79.8848,25529,1100,15766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.15707993507385,101.686012268066,51.6307411193848,13.8766202926636
"444",1991,"COL","Colombia","Latin America & Caribbean","Upper middle income",1190,NA,NA,69.6,42,82.1,0.412,1.004,23000,4800,22000,4600,1000,1000,500,3000,0.03,0.1,0.1,0.1,50.4626302551204,81.2934,25048,1100,15589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.20490002632141,101.992622375488,51.6307411193848,14.6928796768188
"445",1992,"COL","Colombia","Latin America & Caribbean","Upper middle income",1280,NA,NA,70.2,43.2,82.2,0.422,1.046,27000,5300,26000,4900,1000,1000,500,3600,0.03,0.1,0.1,0.1,50.0512820512821,82.702,24527,1100,15356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.93407988548279,106.149353027344,57.2014999389648,15.4235696792603
"446",1993,"COL","Colombia","Latin America & Caribbean","Upper middle income",1390,NA,1.2999999523,70.9,44.3,82.4,0.431,1.085,31000,5400,30000,5000,1100,1000,500,4300,0.03,0.1,0.1,0.2,48.9323784693574,82.8194,23982,1000,15109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.94531989097595,107.33683013916,59.1511497497559,15.6547603607178
"447",1994,"COL","Colombia","Latin America & Caribbean","Upper middle income",1740,NA,NA,71.5,45.4,82.5,0.443,1.11,35000,5400,34000,5100,1300,1100,500,5200,0.03,0.1,0.1,0.2,46.7926521509478,82.9368,23323,960,14699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.36142992973327,108.312828063965,60.3403511047363,16.2047691345215
"448",1995,"COL","Colombia","Latin America & Caribbean","Upper middle income",2140,84.5,NA,72,46.5,82.6,0.453,0.99,39000,5600,38000,5200,1500,1200,500,6200,0.03,0.1,0.1,0.2,43.8525892195277,83.0542,22499,920,14276,0.12561731,166.93250796,415.93041136,3.03628026441637,44.93632726,3.72056981558363,17.20967816,55.06367274,6.75685008,6250283624.43336,84.70798125,38.06465567,NA,NA,3.74213004112244,109.363731384277,61.2564506530762,16.147180557251
"449",1996,"COL","Colombia","Latin America & Caribbean","Upper middle income",2470,NA,1.4600000381,72.5,47.7,82.8,0.463,1.162,43000,5900,42000,5600,1800,1300,500,7300,0.03,0.1,0.2,0.2,40.6178517252173,83.1716,21461,890,13627,0.3300432,208.3591882,513.70216407,3.09305137408976,37.90198513,5.06760660591024,20.36290815,62.09801487,8.16065798,7927867086.07234,85.37579593,32.35912148,NA,NA,3.75548005104065,114.575759887695,65.1716766357422,17.2768497467041
"450",1997,"COL","Colombia","Latin America & Caribbean","Upper middle income",2590,NA,NA,73.1,48.8,82.9,0.47,1.192,47000,6300,45000,6000,2100,1400,500,8500,0.03,0.1,0.2,0.2,37.7396702401655,83.289,20293,850,12894,0.27389625,247.19503201,583.90457572,3.36162682558056,37.53683748,5.59391405441944,22.12822196,62.46316252,8.95554088,9552953114.87444,85.90470827,32.24591073,NA,NA,4.51721501350403,117.494719460672,69.2281941944494,20.2773494720459
"451",1998,"COL","Colombia","Latin America & Caribbean","Upper middle income",2510,NA,NA,73.6,49.9,83,0.491,1.222,51000,6800,49000,6400,2300,1500,500,9900,0.03,0.1,0.2,0.2,35.6319980597437,83.895,19111,840,12152,0.30436484,219.11293771,569.74102415,2.62300744946731,30.05813918,6.10343910053269,22.68503519,69.94186082,8.72644655,8596689925.64726,80.3440973,24.14994059,NA,NA,3.92645001411438,119.293426513672,70.0101699829102,22.6417503356934
"452",1999,"COL","Colombia","Latin America & Caribbean","Upper middle income",2280,NA,NA,74.1,51,83.2,0.506,1.25,55000,7200,54000,6900,2600,1500,500,11000,0.03,0.1,0.2,0.2,34.4247325854422,84.501,18137,840,11571,0.35275477,187.94799259,542.58367158,2.21263806841442,25.51506252,6.45925159158559,20.99568734,74.48493748,8.67188966,7483953554.6017,72.36163688,18.46311689,NA,NA,4.44080018997192,119.631950378418,70.5022735595703,22.1712608337402
"453",2000,"COL","Colombia","Latin America & Caribbean","Upper middle income",2320,88.3,NA,74.6,52.2,83.3,0.491,1.32,60000,7600,58000,7300,3000,1600,500,13000,0.03,0.1,0.2,0.3,33.707205963556,85.107,17365,820,11036,0.31788509,146.00666596,388.96835356,1.22275824627649,20.70161055,4.68382686372351,19.30496151,79.29838945,5.90658511,5899247345.26824,59.03613182,12.2214301,NA,NA,3.5112099647522,120.910942077637,69.9315795898438,23.1944999694824
"454",2001,"COL","Colombia","Latin America & Caribbean","Upper middle income",2300,NA,NA,75.1,53.3,83.4,0.528,1.34,64000,8000,62000,7700,3200,1700,500,15000,0.03,0.1,0.2,0.3,33.1552946460078,85.713,16923,800,10742,0.17235546,142.8050767,402.34120161,1.26947987869143,21.29998467,4.69052384130857,16.8816462,78.70001533,5.96000372,5853424293.55556,59.09757238,12.58777386,NA,NA,3.70867991447449,118.982109069824,70.8815738235175,23.9204597473145
"455",2002,"COL","Colombia","Latin America & Caribbean","Upper middle income",2330,NA,NA,75.6,54.4,83.6,0.55,1.35,69000,8400,67000,8000,3300,1800,500,16000,0.04,0.1,0.2,0.3,32.608241889313,86.319,16642,780,10548,0.04116317,133.58622858,392.70909064,1.11925339177684,19.74343755,4.54973605822316,16.71941133,80.25656245,5.66898945,5553512552.72239,55.86487803,11.0296473,NA,NA,4.26812982559204,120.987030029297,72.6684875488281,23.9655704498291
"456",2003,"COL","Colombia","Latin America & Caribbean","Upper middle income",2340,NA,1.1000000238,76.1,55.6,83.7,0.547,1.37,74000,8700,72000,8400,3200,1800,500,18000,0.04,0.1,0.2,0.3,32.0478889243006,81.7922,16410,740,10386,1.53285752,132.97824584,428.88185647,1.02341551348831,17.27956391,4.89927743651169,18.59795763,82.72043609,5.92269295,5605318566.37694,47.17115684,8.1509702,NA,NA,4.32513999938965,122.132097194552,75.0842398295872,24.2170745753054
"457",2004,"COL","Colombia","Latin America & Caribbean","Upper middle income",2580,NA,1.2,76.6,56.7,83.8,0.557,1.38,79000,9000,77000,8600,3300,1800,500,19000,0.04,0.1,0.2,0.3,31.5005682992354,77.2654,16179,690,10255,1.43771401,147.18106594,415.285642,1.28790958592365,23.97995191,4.08286676407635,15.37872082,76.02004809,5.37077635,6288186968.50519,60.49547742,14.50678639,NA,NA,4.07934999465942,125.021621704102,78.7300109863281,26.6144790649414
"458",2005,"COL","Colombia","Latin America & Caribbean","Upper middle income",2920,92.6,NA,77.1,57.8,84,0.567,1.377,85000,9200,83000,8900,3400,1800,500,20000,0.04,0.2,0.3,0.3,30.982291691832,72.7386,15778,660,10016,1.1149321,196.92570476,479.71084551,1.49981952298232,25.78854301,4.31601707701768,15.70597986,74.21145699,5.8158366,8524054375.31641,65.94489657,17.00622801,NA,NA,3.9950098991394,127.504409790039,83.4079437255859,29.1851291656494
"459",2006,"COL","Colombia","Latin America & Caribbean","Upper middle income",3430,NA,1,77.5,58.9,84.1,0.577,1.396,90000,9500,88000,9100,3500,1900,500,21000,0.04,0.2,0.3,0.3,30.5034260150631,68.2118,15082,630,9644,0.72080457,226.6878277,547.44596072,1.57666239464438,25.79742432,4.53504230535562,16.43640642,74.20257568,6.1117047,9937029582.95083,71.63118922,18.47900183,NA,NA,3.89332008361816,128.716293334961,87.7769622802734,31.3316402435303
"460",2007,"COL","Colombia","Latin America & Caribbean","Upper middle income",4070,NA,1,78,60.1,84.2,0.586,1.415,96000,9700,95000,9400,3000,1900,500,22000,0.04,0.2,0.3,0.4,30.0702333354488,63.685,14342,610,9105,0.54787879,292.29559253,607.25822941,1.7138398910923,27.40667632,4.5395265189077,16.69975205,72.59332368,6.25336641,12970513738.1662,72.46824764,19.86113806,NA,NA,4.05870008468628,129.41520690918,91.6023330688477,32.6321716308594
"461",2008,"COL","Colombia","Latin America & Caribbean","Upper middle income",4660,NA,NA,78.4,61.2,84.4,0.596,1.434,1e+05,9800,1e+05,9500,2700,1800,500,22000,0.04,0.2,0.3,0.4,29.6979517631831,62.4794,13627,580,8614,0.06567257,359.70788439,670.74776255,1.92192871411284,29.03243661,4.69800725588716,18.00168356,70.96756339,6.61993597,16151481124.3286,73.68793384,21.39340268,NA,NA,3.90980005264282,129.498886108398,93.9706573486328,35.2456512451172
"462",2009,"COL","Colombia","Latin America & Caribbean","Upper middle income",5090,NA,NA,78.9,62.3,84.5,0.606,1.452,110000,9900,110000,9700,3600,1700,200,22000,0.04,0.2,0.3,0.4,29.3873894053085,61.2738,12866,580,8146,0.04806146,361.02757176,719.48735936,1.86413336582369,26.58335898,5.14827378417631,18.29034748,73.41664102,7.01240715,16396527842.7025,70.22488754,18.66813395,NA,NA,4.74742984771729,129.685150146484,99.2359390258789,37.0786285400391
"463",2010,"COL","Colombia","Latin America & Caribbean","Upper middle income",5540,95.6,NA,79.3,63.4,84.6,0.616,1.471,110000,10000,110000,9900,4600,1600,200,23000,0.04,0.2,0.3,0.4,29.1066333808845,60.0682,12208,560,7667,0.10966649,422.38951589,721.70375787,1.78187160178331,26.36870338,4.97565293821669,18.10473843,73.63129662,6.75752454,19395324451.8162,67.3710891,17.76488265,NA,55,4.82615995407104,124.284637451172,102.020622253418,39.4090995788574
"464",2011,"COL","Colombia","Latin America & Caribbean","Upper middle income",6180,99.3,1.4,79.8,64.6,84.8,0.584177710458124,1.41139586238631,120000,10000,120000,10000,4800,1600,200,24000,0.04,0.2,0.3,0.4,28.8106043124888,58.8626,11680,530,7346,0.18058356,479.6196164,762.88529332,1.61962432242953,24.40741135,5.01616469757047,20.55019034,75.59258865,6.63578902,22257441828.9698,64.03130931,15.62838505,NA,48,4.45980978012085,120.518730163574,103.872650146484,43.5029602050781
"465",2012,"COL","Colombia","Latin America & Caribbean","Upper middle income",7150,99.3,1.5,80.2,65.7,84.9,0.591907545795201,1.42638643317761,120000,10000,120000,10000,3900,1600,200,25000,0.04,0.2,0.3,0.4,28.4467600130251,57.657,11232,510,7076,0.57141091,546.70837744,835.68539107,1.65595793646981,23.88353747,5.27751219353019,18.87406411,76.11646253,6.93347013,25630245283.4768,60.94093978,14.55485219,NA,47,4.38531017303467,116.561210632324,99.8500289916992,46.2157516479492
"466",2013,"COL","Colombia","Latin America & Caribbean","Upper middle income",7760,99.05,NA,80.6,66.8,85,0.600031662398904,1.44126448178849,130000,10000,130000,10000,3000,1500,500,25000,0.04,0.2,0.3,0.4,28.0621529919803,54.6654,10910,510,6837,0.16541421,549.37060753,869.85664056,1.62428163385488,23.73570309,5.21891836614512,18.14280077,76.26429691,6.8432,26008502723.0599,58.10407839,13.79141153,NA,47,4.90490007400513,116.621070861816,100.337730407715,50.1038208007813
"467",2014,"COL","Colombia","Latin America & Caribbean","Upper middle income",7970,NA,NA,81.1,67.9,85.2,0.607992401024263,1.45569236437076,140000,10000,140000,10000,2700,1500,500,24000,0.04,0.2,0.3,0.5,27.6816760658037,51.6738,10595,490,6603,1.33210731,569.18529029,961.88797029,1.79135539567156,24.87544966,5.40994315432844,18.14111324,75.12455034,7.20129855,27202157898.0393,61.72761036,15.35502064,NA,48,4.67080020904541,113.746620178223,98.7619094848633,51.2910003662109
"468",2015,"COL","Colombia","Latin America & Caribbean","Upper middle income",7130,NA,NA,81.1,67.9,85.2,0.616,1.471,150000,11000,140000,10000,2300,1400,200,23000,0.04,0.2,0.3,0.5,27.3408472922764,51.6738,10183,480,6356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,6.02606010437012,113.746620178223,98.7619094848633,51.2910003662109
"469",1990,"CPV","Cabo Verde","Sub-Saharan Africa","Lower middle income",890,NA,NA,33.5,16.1,54,NA,NA,1200,500,1100,500,100,100,100,200,0.16,0.8,0.5,0.8,57.6376554174068,108.9878,671,35,305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.28710007667542,126.092781066895,20.921329498291,4.05658984184265
"470",1991,"CPV","Cabo Verde","Sub-Saharan Africa","Lower middle income",900,NA,NA,33.8740212325143,16.1015049925866,54.0011832657298,NA,NA,1400,500,1300,500,100,100,100,500,0.17,0.9,0.6,0.9,57.4981160512434,108.9794,644,32,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.06790506839752,125.409446716309,32.9560890197754,3.89612007141113
"471",1992,"CPV","Cabo Verde","Sub-Saharan Africa","Lower middle income",1040,NA,1.5830999613,33.5,16.1,54,NA,0.233799994,1600,500,1500,500,100,100,100,500,0.18,1,0.6,1,57.2355613238157,108.971,623,29,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.98497009277344,124.659061517817,32.2732849121094,3.23161506652832
"472",1993,"CPV","Cabo Verde","Sub-Saharan Africa","Lower middle income",1180,NA,NA,33.9,16.1,54,NA,NA,1900,500,1800,500,100,200,100,500,0.2,1.1,0.7,1.1,56.9734613212874,108.3342,605,26,288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.63288497924805,123.86514927148,36.7490501403809,4.89933013916016
"473",1994,"CPV","Cabo Verde","Sub-Saharan Africa","Lower middle income",1290,NA,NA,34.2,16.1,54,NA,NA,2100,500,2000,500,100,200,100,500,0.2,1.2,0.7,1.2,56.737941322725,107.6974,587,23,284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.68398499488831,123.163330078125,29.7367401123047,4.75901985168457
"474",1995,"CPV","Cabo Verde","Sub-Saharan Africa","Lower middle income",1400,54,NA,34.6,16.1,54,NA,NA,2400,500,2300,500,100,200,100,1000,0.21,1.2,0.8,1.3,56.6179725542275,107.0606,562,20,277,3.5187996,66.64807171,94.06137534,1.03488467477581,19.57308502,4.25239974522419,8.2175556,80.42691498,5.28728442,25936496.9959015,94.01475545,18.40158802,NA,NA,4.45272493362426,122.919910673126,37.9645004272461,10.1358003616333
"475",1996,"CPV","Cabo Verde","Sub-Saharan Africa","Lower middle income",1330,NA,NA,35,16.1,54,NA,0.171,2700,500,2500,500,200,200,100,1000,0.21,1.3,0.8,1.4,56.52,106.4238,533,18,271,1.11946309,60.96200677,94.66525595,0.883546271683459,18.31662394,3.94019348831654,8.27780082,81.68337606,4.82373976,24354809.4024991,92.89928318,17.01601234,NA,NA,4.35682010650635,122.775991143778,34.691665649414,10.8607997894287
"476",1997,"CPV","Cabo Verde","Sub-Saharan Africa","Lower middle income",1340,NA,NA,37.1,18.2,55.6,NA,NA,2900,500,2700,500,200,200,100,1000,0.21,1.3,0.8,1.5,56.469298245614,105.787,497,15,263,6.37299964,57.01116574,102.44161203,0.869617948311001,18.37561928,3.862837241689,9.11186673,81.62438072,4.73245519,23363460.7767088,93.00436015,17.09012714,NA,NA,3.52659499645234,122.562982431207,35.3315715789795,11.3603096008301
"477",1998,"CPV","Cabo Verde","Sub-Saharan Africa","Lower middle income",1300,88.5,NA,39.3,20.4,57.1,NA,NA,3100,500,2900,500,200,200,100,1000,0.2,1.3,0.8,1.5,56.3963352561927,103.3306,455,13,250,7.32546499,65.58086991,125.90977361,1.31190801029117,25.0451186,3.92627045970884,10.56616021,74.9548814,5.23817847,27536357.9824837,95.22862921,23.85012313,NA,NA,6.39176988601685,121.749221801758,40.0682601928711,11.3752551078796
"478",1999,"CPV","Cabo Verde","Sub-Saharan Africa","Lower middle income",1340,NA,NA,41.5,22.5,58.6,NA,NA,3300,500,3100,500,200,200,100,1100,0.19,1.3,0.8,1.6,56.2480025567274,100.8742,410,12,235,8.04636318,64.61232373,123.41257391,1.22389296622802,26.32849373,3.42465616377198,9.33132361,73.67150627,4.64854913,27755903.5766622,95.19202879,25.06262733,NA,NA,6.80168008804321,120.223762512207,38.5206108093262,1.8546199798584
"479",2000,"CPV","Cabo Verde","Sub-Saharan Africa","Lower middle income",1370,NA,NA,43.6,24.6,60.2,NA,NA,3500,500,3300,500,200,500,100,1300,0.17,1.3,0.8,1.6,56.030534351145,98.4178,367,10,218,13.00960939,59.1059178,144.97371768,1.28703824795811,26.74658989,3.52493312204188,9.89115923,73.25341011,4.81197137,25931953.0563252,95.16470895,25.45331442,0,NA,3.35263502597809,117.580032348633,67.2982864379883,2.01276993751526
"480",2001,"CPV","Cabo Verde","Sub-Saharan Africa","Lower middle income",1310,NA,NA,45.7,26.7,61.7,NA,NA,3600,500,3400,500,200,500,100,1400,0.15,1.2,0.8,1.6,55.7430432208407,95.9614,330,9,196,14.62450266,65.31787238,160.43767364,1.27488992567124,24.57180697,3.91353568432876,11.88166327,75.42819303,5.18842561,29220407.4363301,95.05256404,23.35613255,0,NA,5.35444021224976,115.677169799805,64.2571029663086,1.70915997028351
"481",2002,"CPV","Cabo Verde","Sub-Saharan Africa","Lower middle income",1270,NA,NA,47.8,28.8,63.2,NA,NA,3700,500,3400,500,500,500,100,1600,0.13,1.2,0.7,1.5,55.4487179487179,93.505,298,8,177,14.79859448,70.57829328,167.97346721,1.27980725645534,24.74048181,3.89312052354466,11.301326,75.25951819,5.17292778,32141072.4486736,95.05523726,23.51712369,0,NA,7.87682008743286,115.17813873291,66.5941390991211,4.06175994873047
"482",2003,"CPV","Cabo Verde","Sub-Saharan Africa","Lower middle income",1480,NA,NA,49.9,31,64.8,NA,NA,3700,500,3400,500,500,500,100,1700,0.11,1.1,0.7,1.5,55.1974448315912,91.9314,276,7,164,9.2344555,87.91660186,169.61055438,1.25049557765402,25.02308761,3.74687164234598,11.81650124,74.97691239,4.99736722,40676813.7666716,95.03899165,23.78169014,0,NA,4.45680999755859,113.536247253418,66.7169570922852,4.69169998168945
"483",2004,"CPV","Cabo Verde","Sub-Saharan Africa","Lower middle income",1850,NA,NA,52,33.1,66.3,0.867,0.488,3600,500,3400,500,500,500,100,1900,0.09,1,0.6,1.4,54.9575899385785,90.3578,262,6,156,21.47004087,99.75229306,191.88415122,1.2719239713512,25.13049754,3.7893525486488,12.14569202,74.86950246,5.06127652,46782329.1628206,95.05094166,23.88677455,1,NA,7.47664022445679,111.292961120605,65.7059478759766,6.09222984313965
"484",2005,"CPV","Cabo Verde","Sub-Saharan Africa","Lower middle income",2110,77.5,2.1,54,35.2,67.8,NA,NA,3600,500,3400,200,500,500,100,2000,0.08,0.9,0.6,1.3,54.8022598870056,88.7842,255,6,152,17.67246481,103.61719673,209.16833847,1.20838115700728,24.87214316,3.64999051299272,10.35167811,75.12785684,4.85837167,49137761.5014132,95.01427062,23.63208541,4,NA,4.45008993148804,110.214630126953,68.6929397583008,7.46140003204346
"485",2006,"CPV","Cabo Verde","Sub-Saharan Africa","Lower middle income",2250,NA,NA,56.1,37.3,69.4,0.486,0.233,3500,500,3300,200,500,500,100,2100,0.07,0.8,0.5,1.3,54.6879710581851,87.2106,257,7,152,22.56224803,126.40835742,249.17194147,1.15220004678635,22.5264321,3.96268029321365,11.2862542,77.4735679,5.11488034,60456693.06097,94.97847908,21.3952626,7,NA,6.52960014343262,110.445938110352,80.0283813476563,8.31694030761719
"486",2007,"CPV","Cabo Verde","Sub-Saharan Africa","Lower middle income",2780,NA,NA,58.1,39.4,70.9,0.475,0.257,3500,200,3300,200,200,500,100,2100,0.06,0.7,0.5,1.2,54.5760636669728,85.637,261,7,154,20.37316843,135.32055847,230.79480138,0.915479864452182,21.28124021,3.38633645554782,11.10103267,78.71875979,4.30181632,65126807.7370591,94.51352159,20.11364956,10,NA,5.40752983093262,110.124938964844,80.1696166992188,9.29753971099854
"487",2008,"CPV","Cabo Verde","Sub-Saharan Africa","Lower middle income",3280,NA,2.1,60.2,41.6,72.4,0.45,0.256,3400,200,3200,200,200,500,100,2100,0.06,0.6,0.4,1.2,54.4606776499845,83.4398,265,6,158,5.52793368,146.54934854,229.96494675,0.92526041977709,23.34977155,3.03734974022291,9.90530936,76.65022845,3.96261016,70904092.0080227,94.6908772,22.1101035,14,NA,5.51802015304565,110.538208007813,83.0997619628906,11.4715995788574
"488",2009,"CPV","Cabo Verde","Sub-Saharan Africa","Lower middle income",3480,NA,NA,62.2,43.7,74,0.458,0.234,3400,200,3200,200,200,200,100,2000,0.05,0.6,0.4,1.1,54.3560606060606,81.2426,268,6,160,2.86171204,149.22579278,243.49419781,1.00322630654184,23.64710161,3.23926532345815,9.86532571,76.35289839,4.24249163,72624164.2482391,93.74470373,22.16790535,15,NA,5.3089599609375,110.878608703613,83.2680206298828,14.4666204452515
"489",2010,"CPV","Cabo Verde","Sub-Saharan Africa","Lower middle income",3410,NA,2.1,64.2,45.8,75.5,0.453,0.295,3300,200,3100,200,200,200,100,2000,0.05,0.5,0.4,1.1,54.2215088282504,79.0454,267,6,159,5.54353097,163.97801653,282.65049137,1.39972865504089,28.97091915,3.43176684495911,8.66044729,71.02908085,4.8314955,80411375.7659594,89.79047118,26.01312481,19,38,5.56726980209351,111.682601928711,86.4719696044922,17.3055591583252
"490",2011,"CPV","Cabo Verde","Sub-Saharan Africa","Lower middle income",3540,NA,NA,66.2,47.9,77,0.557,0.306,3200,200,3100,200,200,200,100,2000,0.05,0.5,0.3,1,54.0743155149935,76.8482,261,5,156,4.42021503,173.17317694,282.69590033,1.26243544101654,27.45501765,3.33576025898346,10.02089722,72.54498235,4.5981957,85748257.1185341,88.32115538,24.2485888,23,56,5.04361009597778,112.79662322998,89.5345001220703,20.0860195159912
"491",2012,"CPV","Cabo Verde","Sub-Saharan Africa","Lower middle income",3470,NA,NA,68.1,50.1,78.6,NA,NA,3200,200,3000,200,200,200,100,1900,0.05,0.5,0.3,1,54.1172595520422,74.651,253,5,150,25.76610567,161.16235028,288.16080126,1.2690384604729,27.54181013,3.3386414795271,9.62511549,72.45818987,4.60767994,80721386.3838019,88.35048927,24.333324,27,53,2.96538996696472,113.220733642578,91.4871292114258,20.121410369873
"492",2013,"CPV","Cabo Verde","Sub-Saharan Africa","Lower middle income",3530,NA,NA,70.1,52.2,80.1,NA,NA,3200,200,3000,200,200,200,100,1800,0.06,0.5,0.3,1,54.1818181818182,74.1528,244,5,143,22.29358862,155.55972512,271.88801398,1.17296641757954,27.32018212,3.12043987242047,9.15300009,72.67981788,4.29340629,78908915.0425524,87.89113518,24.0120182,31,65,5.03693008422852,114.231521606445,94.2451705932617,22.3113803863525
"493",2014,"CPV","Cabo Verde","Sub-Saharan Africa","Lower middle income",3450,NA,NA,72,54.3,81.6,NA,NA,3200,200,3000,200,200,200,100,1700,0.06,0.5,0.3,1,54.1926997698126,73.6546,235,5,138,23.61409717,173.30567196,310.12388301,1.20246921741011,25.26357198,3.55722675258989,11.72759401,74.73642802,4.75969597,89062824.6554153,88.04000772,22.24205073,38,84,4.71947002410889,113.153358459473,92.5794677734375,22.9821796417236
"494",2015,"CPV","Cabo Verde","Sub-Saharan Africa","Lower middle income",3290,NA,NA,72.2,54.3,81.6,NA,NA,3200,200,3100,200,200,200,100,1600,0.06,0.5,0.3,1,54.1801685029164,73.6546,226,5,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,95,2.4666600227356,113.153358459473,63.5311584472656,26.7124500274658
