"","year","Country.Code","Country.Name","SH.XPD.EXTR.ZS","NY.GNP.PCAP.CD","SH.XPD.PCAP","SH.XPD.PCAP.PP.KD","SH.XPD.PRIV.ZS","SH.XPD.PRIV","SH.XPD.PUBL.ZS","SH.XPD.PUBL.GX.ZS","SH.XPD.PUBL","SH.XPD.TOTL.ZS","SH.XPD.TOTL.CD","SH.XPD.OOPC.ZS","SH.XPD.OOPC.TO.ZS","SE.XPD.TOTL.GD.ZS","SH.STA.BRTC.ZS","SH.MED.BEDS.ZS","SH.STA.ACSN","SH.STA.ACSN.RU","SH.STA.ACSN.UR","SH.MED.NUMW.P3","SH.MED.PHYS.ZS","SH.HIV.TOTL","SH.HIV.INCD.TL","SH.DYN.AIDS","SH.HIV.INCD","SH.DYN.AIDS.DH","SH.HIV.ARTC.ZS","SH.HIV.PMTC.ZS","SH.HIV.0014","SH.HIV.INCD.14","SH.HIV.ORPH","SH.HIV.INCD.ZS","SH.HIV.1524.FE.ZS","SH.HIV.1524.MA.ZS","SH.DYN.AIDS.ZS","SH.DYN.AIDS.FE.ZS","SE.PRM.ENRR","SE.SEC.ENRR","SE.TER.ENRR","SP.ADO.TFRT","SH.DTH.IMRT","SH.MMR.DTHS","SH.DTH.NMRT","Region","IncomeGroup"
"315",1992,"BWA","Botswana",NA,3050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.84061002731323,NA,NA,42.7,24.7,63.4,NA,NA,85000,26000,83000,24000,1700,NA,NA,2100,1200,4500,3.76,14,5.2,11.2,54.7376559989369,104.497291564941,47.44580078125,NA,85.278,2023,110,1167,"Sub-Saharan Africa","Upper middle income"
"316",1993,"BWA","Botswana",NA,3100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.8,25.6,64.2,NA,0.1941000074,110000,30000,110000,29000,2600,NA,NA,2900,1500,7100,4.36,17.4,6.3,14.2,55.0754696294131,103.69596862793,51.4152793884277,4.93632984161377,82.6834,2095,110,1159,"Sub-Saharan Africa","Upper middle income"
"317",1994,"BWA","Botswana",NA,2750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9,26.4,64.9,NA,0.2380000055,140000,33000,140000,31000,3600,NA,NA,3900,1900,11000,4.73,20.6,7.4,17.2,55.3245189692561,103.62574005127,50.2178497314453,5.36796998977661,80.0888,2173,110,1152,"Sub-Saharan Africa","Upper middle income"
"318",1995,"BWA","Botswana",1.31800645,3040,125.96851903,271.24097484,1.94938398900338,47.82288617,2.12687352099662,5.52864293,52.17711383,4.07625751,198563042.833334,37.72911151,18.04315005,NA,NA,NA,46.1,27.3,65.6,NA,NA,170000,34000,170000,32000,4900,NA,NA,5000,2300,16000,4.85,23.3,8.2,19.9,55.4834749536625,102.739677429199,56.8917198181152,5.07265996932983,77.4942,2252,110,1140,"Sub-Saharan Africa","Upper middle income"
"319",1996,"BWA","Botswana",0.84833176,2970,125.6657195,284.54445907,1.91478063095684,47.42014975,2.12312443904316,5.81045462,52.57985025,4.03790507,202551399.661809,34.27847784,16.25490552,NA,87,NA,47.2,28.2,66.3,NA,NA,2e+05,34000,190000,31000,6400,NA,NA,6300,2600,22000,4.68,25.1,8.7,22.2,55.5960943924553,103.482887268066,NA,5.4423999786377,74.8996,2327,120,1133,"Sub-Saharan Africa","Upper middle income"
"320",1997,"BWA","Botswana",0.75772128,3110,138.61191717,333.00359499,1.8655892279526,43.43305672,2.4297318220474,6.36139617,56.56694328,4.29532105,228133869.422325,34.50001524,14.98441119,NA,NA,NA,48.3,29.1,67,NA,NA,220000,32000,210000,29000,8100,NA,NA,7700,2900,31000,4.35,25.9,8.9,24,55.6895378852121,104.161712646484,NA,NA,72.305,2395,130,1132,"Sub-Saharan Africa","Upper middle income"
"321",1998,"BWA","Botswana",0.97945407,3010,127.46658711,326.74153668,1.67709380364601,43.48913247,2.17925767635399,5.68966362,56.51086753,3.85635148,213903081.955602,36.51035455,15.87803645,NA,NA,NA,49.4,29.9,67.7,2.565,0.255,240000,29000,230000,26000,9900,NA,NA,9100,3100,40000,3.85,25.9,8.8,25.1,55.7634556640709,103.645500183105,72.5607299804688,5.79407978057861,69.9218,2442,140,1128,"Sub-Saharan Africa","Upper middle income"
"322",1999,"BWA","Botswana",0.65188539,2970,132.11474526,329.37667959,1.58034587932005,42.21104313,2.16356984067995,5.88678509,57.78895687,3.74391572,225700603.123387,36.16274002,15.26466979,NA,NA,NA,50.5,30.8,68.5,2.942,0.299,260000,27000,250000,23000,12000,NA,NA,11000,3300,51000,3.4,25.3,8.4,25.8,55.8344182262002,104.133369445801,73.519287109375,6.12051010131836,67.5386,2501,150,1127,"Sub-Saharan Africa","Upper middle income"
"323",2000,"BWA","Botswana",0.46306286,3000,154.78565733,381.38015898,1.74393010865247,37.55408651,2.89985242134753,7.4888974,62.44591349,4.64378253,268797522.027305,36.69902913,13.78198515,NA,94.2,NA,51.6,31.7,69.2,2.504,0.289,270000,24000,260000,21000,14000,0,NA,12000,3200,63000,3.02,24.1,7.9,26,55.9069614402331,105.081642150879,75.2137603759766,6.87933015823364,65.1554,2464,150,1130,"Sub-Saharan Africa","Upper middle income"
"324",2001,"BWA","Botswana",0.3941533,3100,178.44845835,475.35777507,1.58287220181377,27.62752986,4.14645723818623,9.80605485,72.37247014,5.72932944,314520939.742904,37.82775683,10.45087481,NA,NA,NA,52.7,32.6,69.9,2.282,0.291,270000,22000,260000,19000,15000,1,NA,13000,3000,75000,2.69,22.7,7.3,26,55.9825461226365,106.918090820313,74.7581329345703,7.43020009994507,62.7722,2407,160,1140,"Sub-Saharan Africa","Upper middle income"
"325",2002,"BWA","Botswana",0.48932127,2790,197.06371022,570.63476985,1.57888075401099,24.38964289,4.89468985598901,10.77840207,75.61035711,6.47357061,352088213.26272,36.62210916,8.93200164,NA,NA,NA,53.7,33.4,70.6,2.342,0.303,280000,20000,260000,18000,16000,2,NA,14000,2800,87000,2.41,21.1,6.7,25.7,56.0574140963331,107.589668273926,75.6507720947266,7.75758981704712,60.389,2338,160,1151,"Sub-Saharan Africa","Upper middle income"
"326",2003,"BWA","Botswana",3.52452406,3230,192.8375504,431.45542173,1.67806474566104,36.10402057,2.96979640433896,7.18833409,63.89597943,4.64786115,349120429.062498,30.79597843,11.11858639,NA,NA,2.2,54.5,34.3,71.3,2.493,0.295,280000,19000,270000,16000,16000,6,NA,14000,2500,97000,2.16,19.4,6.1,25.3,56.1210422919304,107.623802185059,76.2931823730469,9.00992012023926,58.1482,2299,160,1162,"Sub-Saharan Africa","Upper middle income"
"327",2004,"BWA","Botswana",3.02186525,3770,271.23338338,537.03878327,1.67063204291368,30.05421483,3.88809591708632,9.58536156,69.94578517,5.55872796,497916683.543803,26.38388802,7.92947039,NA,NA,NA,55.4,35.2,72.1,2.648,0.398,280000,17000,270000,15000,14000,13,NA,15000,2200,1e+05,1.95,17.8,5.6,24.9,56.1619672448376,107.138389587402,77.8344573974609,9.49265956878662,55.9074,2262,150,1173,"Sub-Saharan Africa","Upper middle income"
"328",2005,"BWA","Botswana",5.22103371,4760,299.62537779,577.47120501,1.53323267430641,27.26371318,4.09047919569359,11.77404719,72.73628682,5.62371187,558502603.0856,22.92987519,6.25153541,10.6785898208618,NA,NA,56.3,36.1,72.8,2.531,0.264,290000,15000,270000,14000,10000,19,NA,14000,1400,110000,1.76,16.3,5.1,24.6,56.1759500336425,107.195167541504,78.5254898071289,9.16608047485352,53.6666,2071,130,1183,"Sub-Saharan Africa","Upper middle income"
"329",2006,"BWA","Botswana",3.42882068,5270,263.34446263,555.93580781,1.45042170071426,29.4230886,3.47911414928574,10.41900998,70.5769114,4.92953585,499214460.811462,20.01288539,5.888409,NA,NA,NA,57.2,36.9,73.5,2.844,0.336,290000,14000,280000,13000,8100,26,NA,14000,1100,1e+05,1.62,14.9,4.7,24.3,56.1771144848112,107.644866943359,80.5333633422852,10.0027599334717,51.4258,2045,120,1195,"Sub-Saharan Africa","Upper middle income"
"330",2007,"BWA","Botswana",5.54093475,5570,267.07285268,580.19530778,1.39735337889562,29.64850478,3.31571188110438,8.97026831,70.35149522,4.71306526,515565714.078806,17.55322523,5.20426882,8.85149002075195,94.6,2.4,58,37.8,74.2,NA,NA,3e+05,14000,290000,13000,7100,30,NA,14000,1200,1e+05,1.52,13.7,4.4,24.1,56.1829488689792,106.690269470215,81.3717575073242,10.1800699234009,49.185,2165,110,1208,"Sub-Saharan Africa","Upper middle income"
"331",2008,"BWA","Botswana",9.31336417,5590,313.44303556,737.23760751,1.62204911128976,29.22415636,3.92832192871024,8.47880512,70.77584364,5.55037104,616813892.624002,12.72549976,3.71891995,NA,NA,1.8,58.9,38.7,74.9,3.216,0.381,310000,13000,290000,12000,7100,37,NA,14000,1100,96000,1.45,12.8,4.1,23.9,56.1915743947005,106.479217529297,NA,14.1721601486206,47.1478,2206,100,1222,"Sub-Saharan Africa","Upper middle income"
"332",2009,"BWA","Botswana",12.06597765,5180,321.66194177,750.47436969,1.8936334985041,29.64281292,4.4945372314959,8.23082262,70.35718708,6.38817073,645643709.456911,13.48035636,3.99595682,9.63292026519775,NA,NA,59.8,39.6,75.7,3.346,0.399,310000,13000,3e+05,12000,6100,45,NA,13000,1000,92000,1.35,12,4,23.6,56.231170917855,107.509666442871,NA,21.7201404571533,45.1106,2113,97,1233,"Sub-Saharan Africa","Upper middle income"
"333",2010,"BWA","Botswana",7.90423058,5480,378.78103239,779.77471709,2.09819038461219,37.18447144,3.54446178538781,8.61620298,62.81552856,5.64265217,775679540.33044,11.93671855,4.4386057,NA,NA,1.8,60.6,40.4,76.4,2.844,0.336,320000,12000,310000,12000,5300,50,95,12000,1000,86000,1.32,11.4,3.9,23.5,56.3620733612693,NA,NA,19.1716995239258,43.0734,2044,89,1247,"Sub-Saharan Africa","Upper middle income"
"334",2011,"BWA","Botswana",10.13912127,6510,384.13222682,697.86718154,2.01315068790625,38.35180794,3.23601694209375,8.75119605,61.64819206,5.24916763,802723419.174372,12.65558039,4.85364389,NA,NA,NA,61.5,41.3,77.1,NA,NA,330000,12000,310000,12000,4900,55,88,12000,1000,81000,1.26,11,3.8,23.3,56.4793526714437,NA,NA,17.1301498413086,41.0362,2115,85,1261,"Sub-Saharan Africa","Upper middle income"
"335",2012,"BWA","Botswana",13.02307854,7160,427.51677594,878.72492658,2.31680635901801,36.93776635,3.95538221098199,10.75512459,63.06223365,6.27218857,911817185.100792,12.6609797,4.6766831,NA,NA,NA,62.4,42.2,77.8,NA,NA,330000,12000,320000,11000,4400,62,88,11000,1000,76000,1.22,10.7,3.9,23.1,56.6055858395599,108.065582275391,82.7621536254883,18.0715408325195,38.999,2091,83,1280,"Sub-Saharan Africa","Upper middle income"
"336",2013,"BWA","Botswana",8.08275354,7330,396.6018688,893.1656896,2.33112255980566,39.9296929,3.50694528019434,10.43662681,60.0703071,5.83806784,863207933.471956,12.66119954,5.05557809,NA,NA,NA,63.3,43.1,78.5,NA,NA,340000,11000,330000,11000,4000,66,93,10000,500,70000,1.11,10.4,3.9,22.8,56.8051147460938,108.572387695313,83.9182510375977,25.0077095031738,36.3236,2049,77,1294,"Sub-Saharan Africa","Upper middle income"
"337",2014,"BWA","Botswana",10.09390604,7030,385.31409704,870.83699002,2.2181181651861,40.98516429,3.1938844548139,8.83910109,59.01483571,5.41200262,855373020.645699,12.65938708,5.18847059,NA,NA,NA,63.3,43.1,78.5,NA,NA,340000,10000,330000,9800,3600,71,88,9400,500,65000,1,10.1,3.9,22.5,56.9763788010738,NA,NA,27.513219833374,33.6482,2042,74,1290,"Sub-Saharan Africa","Upper middle income"
"338",2015,"BWA","Botswana",NA,6510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.4,43.1,78.5,NA,NA,350000,9700,340000,9300,3200,78,92,8500,500,60000,0.94,9.8,3.9,22.2,57.1171303504803,NA,NA,NA,NA,2007,72,1268,"Sub-Saharan Africa","Upper middle income"
"339",1990,"CAF","Central African Republic",NA,460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2441999912262,NA,0.8731999993,14.6,11.6,19.9,NA,0.0384000018,62000,15000,59000,14000,1900,NA,NA,3000,1500,4500,1.02,3,1.6,4,57.1167602820412,70.142578125,11.419810295105,1.38643002510071,148.5782,13585,1600,6057,"Sub-Saharan Africa","Low income"
"340",1991,"CAF","Central African Republic",NA,460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.27630996704102,NA,NA,14.6,11.6,19.9,NA,NA,76000,18000,72000,16000,2500,NA,NA,3800,1800,6300,1.14,3.5,1.9,4.8,57.4066895558755,65.0303421020508,11.4814300537109,1.4903199672699,145.9876,13693,1600,6074,"Sub-Saharan Africa","Low income"
"341",1992,"CAF","Central African Republic",NA,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.6,11.6,19.9,NA,NA,92000,20000,87000,18000,3200,NA,NA,4700,2200,8700,1.25,4,2.1,5.6,57.6480159503157,56.9478988647461,9.57789039611816,1.38700997829437,143.397,13806,1700,6080,"Sub-Saharan Africa","Low income"
"342",1993,"CAF","Central African Republic",NA,430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,11.4,21.1,NA,0.0551999994,110000,22000,1e+05,19000,4000,NA,NA,5700,2500,12000,1.33,4.5,2.3,6.4,57.8220992866502,NA,NA,NA,141.5976,13974,1700,6111,"Sub-Saharan Africa","Low income"
"343",1994,"CAF","Central African Republic",NA,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3,11.2,22.2,NA,NA,130000,23000,120000,20000,5000,NA,NA,6900,2800,16000,1.36,4.9,2.5,7.2,57.9488646883574,NA,NA,NA,139.7982,14216,1700,6155,"Sub-Saharan Africa","Low income"
"344",1995,"CAF","Central African Republic",9.28011941,340,12.04944123,22.73567414,2.23969951841794,62.15044563,1.36397459158206,8.03693667,37.84955437,3.60367411,40195008.0172093,93.45265923,58.08124417,NA,45.9,NA,15.6,10.9,23.4,NA,0.035,140000,23000,130000,20000,6100,NA,NA,8000,3200,20000,1.34,5.1,2.6,7.8,58.0452973668847,NA,NA,NA,137.9988,14510,1700,6257,"Sub-Saharan Africa","Low income"
"345",1996,"CAF","Central African Republic",12.87554162,290,13.24873828,27.04578263,2.4689377462527,54.95920658,2.02337191374731,11.77063123,45.04079342,4.49230966,45273098.2530734,93.4599444,51.36484391,NA,NA,NA,15.9,10.7,24.6,NA,NA,160000,23000,150000,20000,7200,NA,NA,9200,3400,26000,1.28,5.2,2.7,8.3,58.1231719539384,NA,NA,NA,136.1994,14936,1800,6414,"Sub-Saharan Africa","Low income"
"346",1997,"CAF","Central African Republic",1.25157588,290,9.62285807,22.61076049,2.37327983426953,66.11795,1.21618389573046,9.17841195,33.88205,3.58946373,33659891.4860663,93.48801492,61.81235896,NA,NA,NA,16.2,10.5,25.8,NA,NA,170000,22000,160000,18000,8400,NA,NA,10000,3600,32000,1.15,5.2,2.6,8.7,58.1919859205224,NA,NA,NA,134.4,15394,1800,6601,"Sub-Saharan Africa","Low income"
"347",1998,"CAF","Central African Republic",8.4944941,270,10.13627889,24.43592798,2.33109819232647,62.1925115,1.41709935767353,7.72735929,37.8074885,3.74819755,36257753.4052787,93.18757809,57.95569522,NA,NA,NA,16.5,10.3,27,NA,NA,180000,20000,160000,17000,9500,NA,NA,11000,3700,38000,1.03,4.9,2.5,8.8,58.2563527971794,NA,NA,NA,132.0272,15847,1800,6805,"Sub-Saharan Africa","Low income"
"348",1999,"CAF","Central African Republic",21.24750598,270,11.141831,27.34436325,2.20086623340648,54.04102032,1.87171829659352,10.84906934,45.95897968,4.07258453,40704562.6159591,93.44088221,50.49640614,1.69001996517181,NA,NA,16.9,10.1,28.2,NA,NA,180000,18000,170000,15000,11000,NA,NA,12000,3700,45000,0.88,4.6,2.3,8.8,58.3217489455237,NA,NA,1.88852000236511,129.6544,16211,1800,6978,"Sub-Saharan Africa","Low income"
"349",2000,"CAF","Central African Republic",19.30907023,250,10.39547393,27.80788445,2.13339387372762,50.36886716,2.10214683627238,12.63816385,49.63113284,4.23554071,38734034.8275337,93.00585356,46.84599483,1.61265003681183,44.1,NA,17.2,9.8,29.4,NA,NA,180000,16000,170000,12000,12000,0,NA,13000,3600,53000,0.73,4.2,2.1,8.7,58.3906399801153,NA,NA,1.86210000514984,127.2816,16424,1800,7093,"Sub-Saharan Africa","Low income"
"350",2001,"CAF","Central African Republic",15.40920978,250,9.69905428,27.20537157,2.08582784343019,52.80955109,1.86388920656981,13.83876323,47.19044891,3.94971705,36804778.2062239,92.56479351,48.88305192,NA,NA,NA,17.5,9.6,30.5,NA,NA,180000,14000,170000,11000,12000,0,NA,14000,3500,60000,0.61,3.8,1.9,8.4,58.462580304919,77.8815078735352,11.8095598220825,NA,124.9088,16478,1800,7147,"Sub-Saharan Africa","Low income"
"351",2002,"CAF","Central African Republic",16.67854736,250,10.69780249,29.67287685,2.1027382945343,50.48603174,2.0622519454657,12.44529691,49.51396826,4.16499024,41291206.8810845,92.66028954,46.78050319,1.5195699930191,NA,NA,17.8,9.4,31.7,NA,NA,180000,12000,160000,9000,13000,0,NA,14000,3400,67000,0.51,3.3,1.6,8,58.5365703597972,68.6603317260742,11.8713903427124,NA,122.536,16403,1700,7136,"Sub-Saharan Africa","Low income"
"352",2003,"CAF","Central African Republic",20.52663378,260,12.51866139,29.14289984,2.23239482739139,51.80523846,2.07681191260861,16.10929575,48.19476154,4.30920674,49114389.1290695,92.9390505,48.14729673,1.53979003429413,NA,NA,18.2,9.2,32.9,NA,NA,170000,11000,160000,7600,13000,0,NA,15000,3100,74000,0.42,2.9,1.4,7.5,58.6116840243412,68.0861434936523,NA,NA,119.3534,16254,1700,7093,"Sub-Saharan Africa","Low income"
"353",2004,"CAF","Central African Republic",14.77817133,300,13.06244806,29.7197867,2.25633293889152,55.01307928,1.84511524110848,13.254883,44.98692072,4.10144818,52091684.3671504,92.67500748,50.98337534,1.6245299577713,NA,NA,18.5,9,34.1,0.412,0.085,160000,9500,150000,6600,14000,0,NA,15000,2900,80000,0.36,2.5,1.3,7,58.6849413838225,58.4730491638184,NA,1.70155000686646,116.1708,16071,1700,7057,"Sub-Saharan Africa","Low income"
"354",2005,"CAF","Central African Republic",35.34255187,340,14.28373981,31.83783487,2.17540918131666,50.70766713,2.11468993868334,12.5097036,49.29233287,4.29009912,57929249.4602522,92.43914523,46.87373406,1.6363799571991,NA,NA,18.9,8.8,35.3,NA,NA,160000,8700,140000,6100,14000,1,NA,15000,2700,86000,0.32,2.2,1.1,6.5,58.7523277467412,65.0337600708008,NA,NA,112.9882,15885,1600,7002,"Sub-Saharan Africa","Low income"
"355",2006,"CAF","Central African Republic",27.72463967,350,14.24307254,31.07325843,2.06473882516068,51.76432879,1.92399023483932,13.49059251,48.23567121,3.98872906,58782755.576415,91.89487726,47.56876641,1.41506004333496,53.4,1.2,19.2,8.5,36.5,NA,NA,150000,8200,140000,5900,13000,2,NA,15000,2300,90000,0.3,2,1,6.1,58.8064409639438,64.7545013427734,NA,1.12782001495361,109.8056,15640,1500,6943,"Sub-Saharan Africa","Low income"
"356",2007,"CAF","Central African Republic",29.86303391,380,16.34316897,33.23035268,2.00748328088642,49.63850543,2.03672244911358,15.12406221,50.36149457,4.04420573,68675695.7193539,91.35698903,45.34824397,1.31289005279541,NA,NA,19.6,8.3,37.7,NA,NA,140000,7900,130000,5800,12000,4,NA,14000,2200,93000,0.29,1.8,1,5.7,58.8428206916104,75.0106811523438,NA,NA,106.623,15428,1500,6913,"Sub-Saharan Africa","Low income"
"357",2008,"CAF","Central African Republic",25.55104199,420,19.96737755,36.13393865,2.01440417497122,46.79314331,2.29050896502878,14.73515301,53.20685669,4.30491314,85468462.7208626,85.07895707,39.81111831,1.29001998901367,NA,NA,19.9,8.1,38.9,0.198,0.041,140000,8000,130000,6000,11000,8,NA,14000,2000,94000,0.29,1.7,1,5.3,58.8547895299568,86.8309631347656,NA,2.27610993385315,104.9652,15241,1500,6862,"Sub-Saharan Africa","Low income"
"358",2009,"CAF","Central African Republic",49.80616146,450,16.25205752,30.19576783,2.07967639776588,58.142865,1.49716213223412,8.98628479,41.857135,3.57683853,70883218.8360455,83.29708298,48.4313105,1.30356001853943,43.7,NA,20.3,7.9,40,0.257,0.048,140000,7800,120000,6000,9400,10,NA,13000,1800,94000,0.28,1.6,1,5,58.8391290638164,88.8650436401367,13.7092800140381,2.44476008415222,103.3074,15058,1400,6848,"Sub-Saharan Africa","Low income"
"359",2010,"CAF","Central African Republic",25.12177092,470,17.41374391,33.67421824,1.92028781662726,49.27056349,1.97714643337274,9.74336449,50.72943651,3.89743425,77403621.4878478,90.49100932,44.58543019,1.20455002784729,53.8,NA,20.7,7.7,41.2,NA,NA,130000,7700,120000,5900,9500,11,33,13000,1700,92000,0.27,1.6,1,4.8,58.8130686517783,91.8087692260742,NA,2.55825996398926,101.6496,14969,1400,6846,"Sub-Saharan Africa","Low income"
"360",2011,"CAF","Central African Republic",36.68919936,480,18.08817508,33.35862772,1.89250234553148,50.70024114,1.84022614446852,11.84178665,49.29975886,3.73272849,81955766.7311282,90.47771682,45.87242061,1.22862005233765,NA,1,21.1,7.4,42.4,NA,NA,130000,7700,120000,6100,9600,11,44,12000,1600,90000,0.28,1.6,1,4.5,58.8036747538321,92.5838088989258,17.7471008300781,2.98681998252869,99.9918,14936,1400,6863,"Sub-Saharan Africa","Low income"
"361",2012,"CAF","Central African Republic",29.14899122,480,17.01594078,33.65525446,1.85481685252351,51.19777335,1.76802986747649,10.5066313,48.80222665,3.62284672,78605138.4151932,90.45905181,46.31302032,NA,NA,NA,21.5,7.2,43.6,NA,NA,130000,7700,120000,6200,9700,13,50,12000,1500,89000,0.27,1.6,1,4.3,58.8018321456712,93.4557266235352,17.3780097961426,2.77415990829468,98.334,14984,1400,6903,"Sub-Saharan Africa","Low income"
"362",2013,"CAF","Central African Republic",50.96196841,310,12.53258889,22.59951549,1.90872969557458,49.93943706,1.91335923442542,15.51645354,50.06056294,3.82208893,59036990.7506581,90.48552695,45.18796278,NA,NA,NA,21.6,7.2,43.6,NA,NA,120000,7700,110000,6200,9500,13,30,11000,1500,87000,0.26,1.6,1,4.1,58.775954928779,NA,NA,NA,95.7756,15125,1400,6974,"Sub-Saharan Africa","Low income"
"363",2014,"CAF","Central African Republic",45.73379423,310,15.5874302,24.95621963,2.14327914657687,51.02775711,2.05694298342313,14.16568905,48.97224289,4.20022213,74886940.3286621,90.58520575,46.22359876,NA,NA,NA,21.7,7.2,43.6,NA,NA,120000,7400,110000,6200,9100,20,51,10000,1200,85000,0.25,1.6,1,3.9,58.6729943502825,NA,NA,NA,93.2172,15049,1400,6987,"Sub-Saharan Africa","Low income"
"364",2015,"CAF","Central African Republic",NA,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.8,7.2,43.6,NA,NA,120000,7000,110000,6000,7800,24,56,9400,1000,82000,0.24,1.6,1,3.7,58.6234965930397,NA,NA,NA,NA,14981,1400,6993,"Sub-Saharan Africa","Low income"
"365",1990,"CHL","Chile",NA,2260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.36103010177612,NA,3.1586000919,84.8,52.6,91.3,NA,1.1000000238,10000,1100,10000,1100,1000,NA,NA,NA,NA,NA,0.02,0.1,0.1,0.1,10.0470800360613,107.397010803223,77.192268371582,NA,64.4216,4703,160,2522,"Latin America & Caribbean","High income"
"366",1991,"CHL","Chile",NA,2510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.5,54.2,91.7,NA,1.0663000345,11000,1100,10000,1100,1000,NA,NA,NA,NA,NA,0.02,0.1,0.1,0.1,9.13346708703545,107.022361755371,96.1906204223633,20.8833198547363,64.0348,4291,150,2315,"Latin America & Caribbean","High income"
"367",1992,"CHL","Chile",NA,3050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.2,55.9,92.1,4.549,1.008,11000,1200,11000,1100,1000,NA,NA,NA,NA,NA,0.02,0.1,0.1,0.1,8.22293284604842,103.60221862793,96.4576797485352,23.9566802978516,63.648,3874,130,2089,"Latin America & Caribbean","High income"
"368",1993,"CHL","Chile",NA,3380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.46387004852295,99.4,3.0999999046,86.9,57.6,92.5,NA,NA,11000,1200,11000,1200,1000,NA,NA,NA,NA,NA,0.02,0.1,0.1,0.1,7.34121769601402,103.248977661133,76.8071670532227,26.4092102050781,63.0848,3480,130,1942,"Latin America & Caribbean","High income"
"369",1994,"CHL","Chile",NA,3670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5962700843811,99.5,NA,87.6,59.2,92.9,NA,1.1030000448,12000,1200,12000,1200,1000,NA,NA,NA,NA,NA,0.02,0.1,0.2,0.1,6.51679717100278,NA,NA,27.460319519043,62.5216,3108,120,1804,"Latin America & Caribbean","High income"
"370",1995,"CHL","Chile",1.11151237,4400,266.96669287,389.74824274,4.01060191620966,77.82167386,2.48303437679749,12.70796302,48.18077074,5.15357961,3810501120.14266,62.30816368,48.48925593,2.64011001586914,99.5,NA,88.3,60.9,93.3,NA,1.08,12000,1200,12000,1200,1000,NA,NA,NA,NA,NA,0.02,0.1,0.2,0.2,5.79991899554476,NA,NA,28.3151702880859,61.9584,2853,110,1684,"Latin America & Caribbean","High income"
"371",1996,"CHL","Chile",0.93575711,5020,303.30875345,460.634068,4.39844062103935,77.77387902,2.66757950107885,12.75900809,47.16853614,5.65542143,4396527026.21859,63.5634202,49.43573752,2.88003993034363,99.6,2.6700000763,89,62.6,93.7,NA,NA,13000,1300,13000,1300,1000,NA,NA,NA,NA,NA,0.02,0.1,0.2,0.2,5.37250949686022,102.397689819336,NA,30.4447498321533,61.3952,2689,100,1637,"Latin America & Caribbean","High income"
"372",1997,"CHL","Chile",0.23107201,5480,333.67606028,505.68122315,4.64660207084563,80.43966423,2.72289625546186,13.04652054,47.13742584,5.77650605,4903633322.94495,66.54412765,53.52787285,3.09043002128601,99.6,NA,89.7,64.3,94.1,NA,NA,14000,1300,13000,1300,1000,NA,NA,NA,NA,NA,0.02,0.1,0.2,0.2,5.03447764513976,105.338310241699,NA,31.6308002471924,60.832,2600,96,1604,"Latin America & Caribbean","High income"
"373",1998,"CHL","Chile",0.05639911,5350,341.34366838,566.52673118,4.93526444088902,79.16559565,2.99927986205152,13.57974298,48.11085194,6.23410258,5084778287.89031,66.09325895,52.32312213,3.43288993835449,99.7,NA,90.3,65.9,94.5,NA,1.153,14000,1300,14000,1300,1000,NA,NA,NA,NA,NA,0.02,0.1,0.2,0.2,4.73755238298175,106.368370056152,81.2021408081055,33.765739440918,59.5564,2576,89,1580,"Latin America & Caribbean","High income"
"374",1999,"CHL","Chile",0.07021188,5000,318.9346881,579.02628055,4.92882853817243,77.07259745,3.18878331297677,13.38852351,49.86333177,6.39504662,4814934561.09774,66.25949581,51.06791448,3.84052991867065,NA,NA,91,67.6,94.9,NA,NA,15000,1400,15000,1400,1000,NA,NA,NA,NA,NA,0.02,0.1,0.2,0.2,4.46672122204037,108.365577697754,83.4033813476563,37.308780670166,58.2808,2451,86,1530,"Latin America & Caribbean","High income"
